molecule_chembl_id,smiles,logP,qed,bioactivity_class
CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,1.89262,0.7575592206152357,intermediate
CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,3.813200000000002,0.48704151931558587,intermediate
CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,2.6605000000000008,0.48576242143092746,inactive
CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,3.6308000000000016,0.6839442285398027,inactive
CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],3.5390000000000024,0.34871711196304506,intermediate
CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,4.393300000000003,0.6384508863125515,active
CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,3.7699000000000016,0.6836002597217088,intermediate
CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,4.235400000000002,0.42923843525147337,active
CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,4.284200000000002,0.6702555454470316,inactive
CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,4.748600000000002,0.40639559730058916,inactive
CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,4.987900000000002,0.3701983542356512,inactive
CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,3.708300000000003,0.4380757999279467,inactive
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,2.6858200000000014,0.1960286803569092,inactive
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,2.7994200000000014,0.14021654191256613,inactive
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,2.6206000000000014,0.557058693628592,inactive
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,2.6682000000000006,0.7609766584492366,active
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,1.5150000000000001,0.8382871502879699,inactive
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,1.1148999999999998,0.7895736772336147,inactive
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,0.7248,0.7657026512709149,inactive
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,-0.05540000000000028,0.6485618828660885,inactive
CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,4.173900000000002,0.4350283773958228,intermediate
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,3.0207000000000015,0.5336603944654695,inactive
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,6.304700000000004,0.286913257136114,inactive
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,6.304700000000004,0.286913257136114,intermediate
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,3.3684800000000017,0.19554755334869656,inactive
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,3.3684800000000017,0.19554755334869656,inactive
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,1.8744999999999998,0.1655385426767699,inactive
